,Comparison,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_colon,P_value_colon,Correlation_Lscc,P_value_Lscc
0,EGFR_proteomics,0.9999999999999998,0.0,1.0,0.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,PHLDA1_proteomics,0.8168478152481624,6.553435386439516e-25,,,,,0.3647974044559096,0.0001902968641768824,,,0.6642710702729873,3.42661533200948e-15,,,0.7098116757596845,3.919195497958473e-18
2,GRB2_proteomics,-0.6108891162098071,1.886384108144321e-11,,,,,,,-0.3024385657756904,0.0013212650738275414,-0.532341215310538,2.5598240490135205e-09,,,,
3,SOCS2_proteomics,0.5627196030682289,1.3434640782638405e-09,,,,,,,,,,,,,0.47857382010393895,0.0002191662181854632
4,CDH4_proteomics,0.5591797537196763,1.7900481215202167e-09,,,,,,,,,,,,,,
5,PLA2G15_proteomics,-0.5566242323733048,2.1975620249173136e-09,-0.2980294498940282,0.001565619407774808,,,0.2741849473526441,0.003024564243936721,,,,,,,,
6,DAB2_proteomics,-0.5564015379913563,2.2370098379586097e-09,,,,,0.3260553475239116,0.0003764707210962175,,,,,,,,
7,GLA_proteomics,-0.5504906315237544,3.5702294261417187e-09,-0.2983475619308701,0.0015467040213645506,,,,,,,,,,,,
8,CTSC_proteomics,-0.5462852751917662,4.951742478740451e-09,-0.30231627569503383,0.0013275453634613366,,,0.26693956593905577,0.0039283528478327185,0.30276041161402084,0.001304865432522853,,,,,,
9,CKB_proteomics,0.5442462597158703,5.793441254542527e-09,,,,,,,,,,,,,,
10,DCBLD2_proteomics,-0.5653725668293248,6.4080703524936024e-09,,,,,,,,,,,,,,
11,ARNT2_proteomics,0.5420787847456093,6.837755397258697e-09,,,,,,,,,,,,,,
12,SHC1_proteomics,-0.5405244914396086,7.695117931637705e-09,,,,,,,,,,,,,,
13,SCPEP1_proteomics,-0.531494133013942,1.51074842787198e-08,-0.386583468079414,3.024882596838577e-05,,,0.3991869646977245,9.907282432492504e-06,,,,,,,,
14,ROBO2_proteomics,0.5271277906035979,2.078744078781758e-08,,,,,,,,,,,,,,
15,PHLDA3_proteomics,0.5258827854613878,2.2749193535040245e-08,0.4325299757098131,3.651700740714689e-06,,,,,,,0.7637844857470779,4.542520609977958e-22,,,0.6856437017419061,1.4123094176462207e-16
16,BLOC1S2_proteomics,-0.5229648266822912,2.8063596415516746e-08,,,,,,,,,,,,,,
17,ATP7A_proteomics,-0.5224817306372646,2.9050654593125225e-08,,,,,,,,,,,,,,
18,MEOX2_proteomics,0.5458632466939957,3.15918193420926e-08,,,,,,,,,,,,,,
19,CD180_proteomics,-0.5182666129723484,3.9188354698101024e-08,,,,,,,,,,,,,,
20,FAM129B_proteomics,-0.5149840251387472,4.9338151849772536e-08,,,,,0.34409341711677,0.00016632733304323226,,,,,,,0.35320095999548584,0.00015381499473207978
21,SEC23IP_proteomics,-0.5144035788843105,5.137602364276023e-08,,,,,-0.2573069982684186,0.0055020382535906215,-0.26661208835537786,0.004870772734459116,,,,,,
22,TOR4A_proteomics,-0.5138471291537452,5.340484729091261e-08,,,,,,,,,,,,,,
23,XRN1_proteomics,-0.5116564308207833,6.215974541674247e-08,,,,,,,,,,,,,,
24,PCDH17_proteomics,0.5060447136622968,9.126315836197023e-08,,,,,,,,,,,,,,
25,WAS_proteomics,-0.5019180366341212,1.2051684359689666e-07,-0.27981387372305405,0.003070749503077864,,,,,-0.3379086881786271,0.00030580608749053087,-0.5034268684782973,2.4113325017541083e-08,,,,
26,LRP4_proteomics,0.5008960940270109,1.2903455595560912e-07,,,,,,,,,,,,,,
27,ARHGAP4_proteomics,-0.4989264348229207,1.470944267430579e-07,,,,,,,,,-0.4664129768292121,3.1939818346802137e-07,,,,
28,NPC2_proteomics,-0.498790591960705,1.4842485672807221e-07,-0.319133468723472,0.0006783668360179059,,,0.2795993233274339,0.0024764008073463913,0.29251983063392983,0.001928339186059513,,,,,,
29,IKBKE_proteomics,-0.5197345389973977,1.5256152296365938e-07,,,,,,,,,,,,,,
30,GPRIN3_proteomics,-0.4978363548048215,1.5809856909910795e-07,,,,,,,,,-0.5445271846593618,7.159621410487706e-08,,,,
31,PPP1R18_proteomics,-0.4972021285670396,1.648569205371532e-07,,,,,0.3591418178715906,8.092840237916114e-05,,,,,,,,
